0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	
10000	0.41989	0.42116	0.42011	0.4189	0.96534	0.95383	0	0	0	0	1.0663	0.99872	
20000	0.42261	0.42088	0.42184	0.41887	0.99295	0.94417	0	0	0	0	1.0089	0.97896	
30000	0.42314	0.41878	0.41886	0.41878	0.97235	1.0118	0	0	0	0	1.0365	1.0518	
40000	0.42371	0.42209	0.41838	0.41876	0.97218	0.96546	0	0	0	0	1.0375	1.0175	
50000	0.42289	0.41954	0.41989	0.41933	0.98904	1.0033	0	0	0	0	1.0714	1.0984	
60000	0.42288	0.42182	0.41743	0.47159	1.0028	1.0241	0	0	0	0	1.1014	1.1506	
70000	0.42244	0.42183	0.41951	0.42078	0.9997	0.96827	0	0	0	0	1.097	1.0228	
80000	0.42182	0.42152	0.41769	0.41951	0.99693	0.99425	0	0	0	0	1.0887	1.0951	
90000	0.42146	0.4214	0.41848	0.41791	0.99736	1.0529	0	0	0	0	1.0916	1.165	
100000	0.42166	0.42137	0.41893	0.41894	1.0364	1.0426	0	0	0	0	1.1703	1.1359	
